肯尼亚航空: 肯尼亚
真航空: 韩国真,韩国真航空
亚洲航空公司: 亚洲航空,亚航
德国汉莎航空股份公司: 汉莎航空,汉莎
春秋航空日本: 春秋
法国航空公司: AF,法国航空,法航
马来西亚航空公司: 马来西亚航空,马航
土耳其航空公司: 土耳其航空,土耳其
土耳其货运航空公司: 土耳其货运航空,土耳其货运
巴拉圭航空公司: 巴拉圭地区航空,巴拉圭地区
波兰航空公司: 波兰,波兰航空
胜安航空公司: 胜安,胜安航空
敦煌国际机场: 敦煌机场
赛义德易卜拉欣王子机场: 赛义德·易卜拉欣王子国际机场
德罗什岛机场: 德罗什机场
鸡西兴凯湖机场: 兴凯湖机场
阿尔皮纳郡地区机场: 阿尔皮纳机场
威尼斯马可·波罗国际机场: 马可波罗机场
特克萨卡纳机场: 特克萨卡纳地方机场
达尼丁国际机场: 达尼丁机场
西部航空有限责任公司: 西部,西部航空
广西北部湾航空有限责任公司: 北部湾航空
海南航空股份有限公司: 海航,海南航空
乔莫·肯雅塔国际机场: 内罗毕机场
东营胜利机场: 实里达机场
关岛A.B.WonPat国际机场: 关岛机场
金奈国际机场: 金奈机场
黄金机场: 赣州黄金机场
关岛A.B.WonPat国际机场: 埃弗里特
太原武宿国际机场: 武宿机场
平壤机场: 平壤顺安国际机场
科珀斯科里斯蒂国际机场: 科珀斯科里斯蒂机场
永州零陵机场: 零陵机场
安大略机场: 安大略国际机场
突尼斯机场: 苏梅岛机场
朝阳川机场: 延吉朝阳川国际机场
罗家机场: 景德镇罗家机场
昌北机场: 南昌昌北国际机场
朱诺机场: 朱诺国际机场
佳木斯东郊机场: 东郊机场
南苑机场: 北京南苑机场
遥墙机场: 济南遥墙国际机场
华盛顿杜勒斯国际机场: 杜勒斯机场
奥什机场: 奇科机场
成都航空有限公司: 成都,成都航空
云南祥鹏航空有限责任公司: 祥鹏,祥鹏航空
北京首都航空有限公司: 首都航空,首都
龙江航空有限公司: 龙江航空
福州航空有限责任公司: 福州航空
中国东方航空有限公司: 东方航空,东航
幸福航空: 幸福
重庆航空有限公司: 重庆航空,重庆
中国南方航空股份有限公司: 南方航空
浙江长龙航空有限公司: 长龙航空
九元航空有限公司: 九元,九元航空
华夏航空股份有限公司: 华夏,华夏航空
泰国航空: 泰航
春秋航空股份有限公司: 春秋,春秋航空
金鹏航空公司: 金鹏,RayaAirways
云南红土航空股份有限公司: 红航,红土航空,红土航
长荣航空股份有限公司: 长荣航空,长荣
卡拉奇机场: 卡拉奇真纳国际机场
魁北克机场: 魁北克让·勒萨热国际机场
圣路易斯机场: 兰伯特—圣路易斯国际机场
榆林榆阳机场: 榆阳机场
达勒姆国际机场: 罗利机场
太空城（SpaceCity）: 休斯顿哈比机场
雅温得国际机场: 雅温得机场
诺克斯威尔机场: 诺克斯维尔机场
六盘水月照机场: 苏厄德机场
滨海机场: 天津滨海国际机场
让·保尔·马拉: 马拉
路易斯维尔机场: 斯坦迪福德机场,路易斯威尔机场
池州九华山机场: 九华山机场
印第安纳波利斯机场: 印第安那波利斯国际机场
波特兰喷气机机场: 缅因-波特兰机场
浦那机场: 浦那国际机场
塔什干机场: 塔什干尤日内机场
梳邦国际机场: 吉隆坡梳邦机场
坎布里亚郡机场: 约翰斯顿机场
吴哥机场: 吴哥窟机场
库利亚布: 吴哥窟机场
长水机场: 昆明长水国际机场
辛辛那提机场: 辛辛那提国际机场
西双版纳机场: 西双版纳嘎洒国际机场
巴林国际机场: 巴林机场
南阳姜营机场: 姜营机场
拉萨贡嘎国际机场: 贡嘎机场
温哥华国际机场: 温哥华机场
六盘山机场: 固原机场
加格达奇机场: 加格达奇嘎仙机场
潍坊机场: 潍坊南苑机场
蒙巴萨国际机场: 莫伊国际机场
大兴机场: 北京大兴国际机场
匹兹堡机场: 匹兹堡国际机场
青莱机场: 清莱机场
阿里亚皇后机场: 安曼阿利亚皇后机场
锡亚尔科特机场: 锡亚尔科特国际机场
卢萨卡机场: 卢萨卡国际机场
伊春林都机场: 林都机场
萨那国际机场: 萨那机场
普吉国际机场: 普吉机场
普吉国际机场: 拉各斯机场
巴西利亚机场: 巴西利亚国际机场
梅肯机场: 路易斯－威尔逊机场
里昂机场: 里昂圣埃克絮佩里机场
尼雷尔国际机场: 达累斯萨拉姆机场
菲利普比拉德机场: 罗阿坦机场
安塔那那利佛机场: 塔那那利弗伊瓦图机场
金门尚义: 金门航空站
高崎机场: 厦门高崎国际机场
金湾机场: 珠海金湾国际机场
吉达阿卜杜勒—阿齐兹国王国际机场: 阿卜杜勒-阿齐兹国王机场
努瓦克肖特机场: 武夷山机场
舟山普陀山机场: 普陀山机场
奥尔比亚机场: 奥比亚机场
南郊机场: 绵阳南郊机场
米兰李罗德机场: 利纳特机场
萨尔斯堡机场: 萨尔茨堡机场
塞班国际机场: 塞班机场
迈诺特国际机场: 迈诺特机场
迈诺特机场: 山海关机场
大水泊机场: 威海国际机场
格林斯博罗机场: 信风航空公司
哈瓦那机场: 哈瓦那何塞马蒂机场
布卢梅瑙机场: 绵阳南郊机场
卡利亚里机场: 卡利阿里机场
成都双流国际机场: 双流机场
佛罗伦萨-佩雷托拉亚美利哥·韦斯普奇国际机场: 佛罗伦撒机场
瑙鲁国际机场: 瑙鲁岛国际机场
国家公园机场: 大峡谷机场
栎社机场: 宁波栎社国际机场
米苏拉机场: 约翰逊贝尔机场
广汉机场: 杜阿拉机场
林肯地方机场: LNK
雅典国际机场: 雅典机场
桃花源机场: 常德桃花源机场
澳门机场: 澳门国际机场
纽埃国际机场: 哈南机场
济洲机场: 济州机场
苏城机场: 苏城门户机场
大邱国际机场: 大邱机场
费耶特维尔地方机场: 费耶特维尔机场
泉州晋江国际机场: 晋江机场
苏福尔斯机场: 苏福尔斯地区机场
斯潘塞地方机场: 斯潘塞机场
塞舌尔国际机场: 塞舌尔机场
亚庇国际机场: 亚庇机场
贝尔法斯特市机场: 乔治·贝斯特贝尔法斯特城市机场
郑州新郑国际机场: 新郑机场
圣胡安路易斯·穆尼奥斯·马林国际机场: 圣胡安机场
香格里拉机场: 迪庆香格里拉机场
重庆万州五桥机场: 五桥机场
霍希库塔科机场: 霍希库塔科国际机场
秦皇岛北戴河机场: 秦皇岛北戴河国际机场
拉巴斯机场: 拉巴斯埃尔阿托机场
